20000112,mso,59.2,1.72,1.78
20000112,fer,56.74,9.25,9.8
20000112,nvt,56.5,4.03,4.09
20000112,pgd,55.48,5.91,5.91
20000112,tri,52.28,9.45,9.45
20000112,ltx,48.85,2.54,2.59
20000112,sgn,47.51,85.92,90.03
20000112,rse,44.56,1.01,1.04
20000112,net,40.31,86.8,88.51
20000112,acp,38.41,65.48,70.04
20000112,sme,38.29,9.99,12.16
20000112,mnc,37.46,1.69,1.74
20000112,kty,37.37,45.84,46.22
20000112,peo,37.11,47.33,45.8
20000112,mil,35.93,9.59,9.86
20000112,ekp,33.29,8.38,8.1
20000113,cdr,101.27,24.23,23.1
20000113,cmr,75.66,90.46,89.98
20000113,ech,72.82,1.22,1.19
20000113,sme,67.7,12.16,11.43
20000113,ago,67.33,61.81,60.13
20000113,fer,65.01,9.8,9.2
20000113,mso,63.99,1.78,1.84
20000113,nvt,58.1,4.09,3.97
20000113,pgd,54.99,5.91,6.01
20000113,sgn,54.03,90.03,88.56
20000113,tri,51.58,9.45,9.45
20000113,ltx,51.2,2.59,2.65
20000113,rse,48.2,1.04,1.05
20000113,acp,47.65,70.04,68.9
20000113,net,42.55,88.51,88.06
20000113,mnc,41.12,1.74,1.73
20000113,bdx,39.62,20.2,20.44
20000113,mil,39.23,9.86,9.78
20000113,kty,38.13,46.22,46.3
20000113,ink,34.08,6.36,6.5
20000114,cdr,90.27,23.1,23.6
20000114,cmr,73.55,89.98,87.78
20000114,mso,68.65,1.84,1.9
20000114,ech,67.77,1.19,1.19
20000114,ago,62.01,60.13,59.58
20000114,sme,57.16,11.43,11.53
20000114,pgd,57.09,6.01,6.01
20000114,ltx,54.07,2.65,2.75
20000114,fer,54.05,9.2,9.2
20000114,nvt,52.78,3.97,4.09
20000114,sgn,51.0,88.56,89.05
20000114,tri,50.86,9.45,9.45
20000114,rse,48.95,1.05,1.06
20000114,acp,44.89,68.9,69.51
20000114,ekp,42.03,9.01,8.94
20000114,net,41.33,88.06,
20000114,bdx,40.78,20.44,20.56
20000114,mnc,39.91,1.73,1.7
20000114,kty,37.97,46.3,45.75
20000114,mil,37.56,9.78,9.86
20000117,cdr,92.71,23.6,22.47
20000117,mso,73.2,1.9,2.05
20000117,cmr,68.22,87.78,84.23
20000117,ech,66.97,1.19,1.14
20000117,ago,59.78,59.58,58.07
20000117,ltx,59.16,2.75,2.88
20000117,sme,58.01,11.53,11.11
20000117,nvt,56.64,4.09,3.85
20000117,pgd,56.6,6.01,5.82
20000117,fer,53.2,9.2,9.52
20000117,sgn,51.35,89.05,84.74
20000117,tri,50.13,9.45,9.45
20000117,rse,49.68,1.06,1.03
20000117,acp,45.8,69.51,67.99
20000117,msx,43.73,6.0,5.75
20000117,bdx,41.09,20.56,20.15
20000117,mza,40.35,10.15,10.9
20000117,ekp,40.29,8.94,9.08
20000117,mil,38.13,9.86,9.41
20000117,suw,38.02,2.84,2.78
20000118,mso,85.62,2.05,1.99
20000118,cdr,82.06,22.47,21.51
20000118,ltx,65.85,2.88,2.84
20000118,cmr,60.47,84.23,81.54
20000118,ech,59.27,1.14,1.13
20000118,fer,57.6,9.52,9.25
20000118,ago,55.06,58.07,59.65
20000118,sme,51.87,11.11,11.11
20000118,pgd,51.21,5.82,5.72
20000118,mza,50.35,10.9,10.1
20000118,tri,49.43,9.45,9.45
20000118,nvt,46.85,3.85,3.85
20000118,rse,44.84,1.03,1.03
20000118,sgn,43.62,84.74,83.96
20000118,acp,42.27,67.99,65.1
20000118,ywl,42.05,12.32,12.07
20000118,ekp,41.7,9.08,9.08
20000118,net,41.55,88.51,86.45
20000118,bdx,37.84,20.15,19.91
20000118,msx,37.65,5.75,5.5
20000119,mso,79.11,1.99,1.96
20000119,cdr,73.03,21.51,21.09
20000119,ltx,62.71,2.84,2.81
20000119,ago,58.51,59.65,63.16
20000119,ech,57.21,1.13,1.13
20000119,cmr,54.5,81.54,86.82
20000119,fer,52.27,9.25,9.52
20000119,sme,51.48,11.11,11.63
20000119,tri,48.71,9.45,9.45
20000119,pgd,48.21,5.72,5.87
20000119,nvt,46.28,3.85,3.73
20000119,rse,44.21,1.03,1.03
20000119,sgn,41.88,83.96,87.09
20000119,ekp,40.99,9.08,
20000119,mza,39.05,10.1,10.3
20000119,ywl,38.73,12.07,12.32
20000119,net,37.82,86.45,83.39
20000119,mil,37.11,9.86,9.86
20000119,acp,35.95,65.1,69.28
20000119,bdx,35.77,19.91,19.91
20000120,mso,75.4,1.96,1.84
20000120,cdr,68.49,21.09,21.01
20000120,ago,66.94,63.16,64.75
20000120,cmr,63.47,86.82,84.42
20000120,ltx,60.21,2.81,2.91
20000120,sme,58.13,11.63,12.68
20000120,ech,56.53,1.13,1.12
20000120,fer,55.76,9.52,9.36
20000120,pgd,51.61,5.87,5.62
20000120,tri,48.0,9.45,9.58
20000120,sgn,46.7,87.09,86.41
20000120,acp,44.3,69.28,68.75
20000120,rse,43.58,1.03,1.02
20000120,mza,41.49,10.3,10.1
20000120,nvt,41.22,3.73,3.67
20000120,ywl,41.12,12.32,12.4
20000120,mni,39.68,5.17,5.05
20000120,mcl,39.43,35.78,37.15
20000120,rlp,36.75,4.47,4.68
20000120,mil,36.61,9.86,9.63
20000121,sme,71.8,12.68,11.43
20000121,ago,70.22,64.75,62.44
20000121,cdr,66.72,21.01,19.93
20000121,ltx,65.02,2.91,2.89
20000121,mso,63.88,1.84,1.84
20000121,cmr,58.02,84.42,76.74
20000121,ech,54.45,1.12,1.13
20000121,fer,52.24,9.36,9.25
20000121,tri,49.33,9.58,9.98
20000121,sgn,45.09,86.41,82.1
20000121,pgd,44.78,5.62,5.43
